distance,speed
0,197
2.286,198
4.578,198
6.869,198
9.178,201
11.505,201
13.831,201
16.169,203
18.518,203
20.88,205
23.252,205
25.625,205
28.009,207
30.405,207
32.801,207
35.208,209
37.627,209
40.058,211
42.5,211
44.954,213
47.419,213
49.884,213
52.361,215
54.849,215
57.355,218
59.878,218
62.401,218
64.925,218
67.448,218
69.982,220
72.529,220
75.087,222
77.656,222
80.225,222
82.818,226
85.434,226
88.05,226
90.665,226
93.281,226
95.903,227
98.53,227
101.169,229
103.825,230
106.499,232
109.184,232
111.869,232
114.554,232
117.239,232
119.948,236
122.679,236
125.411,236
128.142,236
130.879,237
133.622,237
136.365,237
139.114,238
141.869,238
144.623,238
147.401,242
150.202,242
153.003,242
155.816,244
158.64,244
161.458,243
164.27,243
167.083,243
169.89,242
172.673,239
175.439,239
178.206,239
180.972,239
183.709,234
186.417,234
189.102,230
191.764,230
194.427,230
197.06,225
199.664,225
202.268,225
204.849,221
207.378,216
209.878,216
212.378,216
214.849,211
217.291,211
219.733,211
222.152,207
224.548,207
226.915,202
229.253,202
231.591,202
233.9,197
236.151,192
238.373,192
240.595,192
242.794,188
244.97,188
247.123,184
249.253,184
251.382,184
253.483,179
255.555,179
257.627,179
259.675,175
261.701,175
263.703,171
265.682,171
267.632,166
269.554,166
271.475,166
273.373,162
275.248,162
277.123,162
278.975,158
280.804,158
282.609,154
284.392,154
286.157,151
287.904,151
289.652,151
291.376,147
293.078,147
294.756,143
296.411,143
298.066,143
299.698,139
301.307,139
302.898,136
304.472,136
306.029,133
307.569,133
309.085,129
310.578,129
312.071,129
313.547,126
315.005,126
316.446,123
317.869,123
319.293,123
320.699,120
322.088,120
323.46,117
324.814,117
326.168,117
327.511,115
328.842,115
330.161,113
331.469,113
332.777,113
334.067,110
335.34,110
336.614,110
337.869,107
339.096,105
340.312,105
341.509,102
342.69,102
343.871,102
345.045,101
346.214,101
347.372,99
348.518,99
349.663,99
350.798,97
351.909,95
353.008,95
354.108,95
355.196,93
356.272,93
357.337,91
358.39,91
359.443,91
360.497,91
361.538,89
362.568,89
363.587,87
364.594,87
365.601,87
366.602,86
367.597,86
368.587,85
369.571,85
370.549,84
371.521,84
372.487,83
373.448,83
374.409,83
375.363,82
376.313,82
377.262,82
378.211,82
379.148,80
380.074,80
381.0,80
381.926,80
382.852,80
383.778,80
384.704,80
385.641,82
386.59,82
387.539,82
388.494,83
389.455,83
390.416,83
391.388,85
392.372,85
393.355,85
394.345,86
395.34,86
396.336,86
397.337,87
398.355,89
399.385,89
400.416,89
401.446,89
402.476,89
403.512,90
404.553,90
405.601,91
406.654,91
407.707,91
408.766,92
409.831,92
410.896,92
411.972,94
413.06,94
414.154,95
415.253,95
416.37,98
417.505,98
418.639,98
419.779,99
420.925,99
422.071,99
423.228,101
424.408,103
425.601,103
426.793,103
427.991,104
429.194,104
430.398,104
431.602,104
432.805,104
433.992,101
435.161,101
436.307,97
437.429,97
438.552,97
439.657,94
440.745,94
441.822,92
442.886,92
443.934,89
444.964,89
445.994,89
447.013,87
448.02,87
449.015,85
449.999,85
450.965,82
451.914,82
452.863,82
453.795,79
454.709,79
455.612,77
456.503,77
457.395,77
458.274,75
459.142,75
459.999,73
460.844,73
461.688,73
462.528,72
463.361,72
464.188,71
465.01,71
465.826,70
466.636,70
467.447,70
468.251,69
469.05,69
469.848,69
470.647,69
471.44,68
472.227,68
473.008,67
473.783,67
474.559,67
475.334,67
476.11,67
476.879,66
477.643,66
478.407,66
479.171,66
479.935,66
480.699,66
481.469,67
482.244,67
483.019,67
483.795,67
484.576,68
485.363,68
486.15,68
486.937,68
487.724,68
488.517,69
489.316,69
490.126,71
490.948,71
491.769,71
492.58,69
493.378,69
494.177,69
494.975,69
495.774,69
496.584,71
497.406,71
498.234,72
499.067,72
499.9,72
500.739,73
501.584,73
502.429,73
503.28,74
504.136,74
504.993,74
505.855,75
506.723,75
507.608,78
508.517,79
509.431,79
510.352,80
511.277,80
512.203,80
513.147,83
514.107,83
515.08,85
516.063,85
517.053,86
518.048,86
519.044,86
520.051,88
521.069,88
522.088,88
523.118,90
524.183,94
525.27,94
526.37,96
527.481,96
528.592,96
529.703,96
530.826,98
531.96,98
533.106,100
534.263,100
535.438,103
536.63,103
537.846,107
539.084,107
540.323,107
541.584,111
542.869,111
544.171,114
545.49,114
546.81,114
548.152,118
549.518,118
550.884,118
552.25,118
553.633,121
555.039,122
556.48,127
557.95,127
559.42,127
560.901,129
562.394,129
563.899,131
565.415,131
566.931,131
568.459,133
570.016,136
571.59,136
573.164,136
574.738,136
576.329,139
577.938,139
579.559,141
581.19,141
582.822,141
584.472,144
586.138,144
587.805,144
589.472,144
591.156,147
592.869,149
594.593,149
596.329,151
598.077,151
599.825,151
601.59,154
603.372,154
605.166,156
606.972,156
608.795,159
610.646,161
612.51,161
614.373,161
616.248,163
618.135,163
620.039,166
621.96,166
623.881,166
625.803,166
627.741,169
629.697,169
631.653,169
633.609,169
635.577,171
637.573,174
639.587,174
641.613,176
643.65,176
645.687,176
647.735,178
649.796,178
651.873,181
653.968,181
656.074,183
658.193,183
660.311,183
662.446,186
664.599,186
666.763,188
668.939,188
671.127,190
673.326,190
675.525,190
677.741,193
679.975,193
682.209,193
684.454,195
686.711,195
688.979,197
691.26,197
693.54,197
695.831,199
698.135,199
700.449,201
702.776,201
705.102,201
707.44,203
709.801,205
712.174,205
714.558,207
716.954,207
719.35,207
721.763,210
724.194,210
726.63,211
729.072,211
731.514,211
733.968,213
736.433,213
738.916,216
741.416,216
743.916,216
746.421,217
748.933,217
751.462,220
754.008,220
756.555,220
759.101,220
761.647,220
764.193,220
766.757,223
769.35,225
771.954,225
774.558,225
777.168,226
779.784,226
782.417,229
785.067,229
787.718,229
790.374,230
793.036,230
795.71,232
798.395,232
801.091,234
803.8,234
806.508,234
809.222,235
811.942,235
814.674,237
817.417,237
820.16,237
822.908,238
825.663,238
828.429,240
831.207,240
833.996,242
836.797,242
839.604,243
842.417,243
845.229,243
848.053,245
850.889,245
853.724,245
856.566,246
859.413,246
862.266,247
865.125,247
867.984,247
870.854,249
873.736,249
876.629,251
879.534,251
882.44,251
885.35,252
888.267,252
891.19,253
894.118,253
897.046,253
899.986,255
902.943,256
905.906,256
908.869,256
911.832,256
914.795,256
917.752,255
920.703,255
923.643,253
926.571,253
929.5,253
