distance,speed,frame
0,102,1
1.133,102,2
2.272,103,3
3.417,103,4
4.561,103,5
5.717,105,6
6.883,105,7
8.061,107,8
9.25,107,9
10.439,107,10
11.644,110,11
12.867,110,12
14.1,112,13
15.344,112,14
16.589,112,15
17.85,115,16
19.128,115,17
20.428,119,18
21.75,119,19
23.072,119,20
24.411,122,21
25.767,122,22
27.144,126,23
28.544,126,24
29.944,126,25
31.361,129,26
32.794,129,27
34.25,133,28
35.728,133,29
37.206,133,30
38.7,136,31
40.211,136,32
41.744,140,33
43.3,140,34
44.856,140,35
46.428,143,36
48.017,143,37
49.622,146,38
51.244,146,39
52.867,146,40
54.511,150,41
56.178,150,42
57.861,153,43
59.561,153,44
61.261,153,45
62.978,156,46
64.711,156,47
66.461,159,48
68.228,159,49
69.994,159,50
71.772,161,51
73.561,161,52
75.356,162,53
77.156,162,54
78.956,162,55
80.761,163,56
82.572,163,57
84.389,164,58
86.211,164,59
88.033,164,60
89.856,164,61
91.678,164,62
93.489,162,63
95.289,162,64
97.089,162,65
98.878,160,66
100.656,160,67
102.422,158,68
104.178,158,69
105.933,158,70
107.672,155,71
109.394,155,72
111.111,154,73
112.822,154,74
114.533,154,75
116.233,152,76
117.922,152,77
119.6,150,78
121.267,150,79
122.933,150,80
124.589,148,81
126.233,148,82
127.872,147,83
129.506,147,84
131.139,147,85
132.756,144,86
134.356,144,87
135.944,142,88
137.522,142,89
139.1,142,90
140.667,140,91
142.222,140,92
143.767,138,93
145.3,138,94
146.833,138,95
148.35,135,96
149.85,135,97
151.339,133,98
152.817,133,99
154.294,133,100
155.756,130,101
157.2,130,102
158.633,128,103
160.056,128,104
161.478,128,105
162.883,125,106
164.272,125,107
165.644,122,108
167,122,109
168.356,122,110
169.7,120,111
171.033,120,112
172.35,117,113
173.65,117,114
174.95,117,115
176.233,114,116
177.5,114,117
178.75,111,118
179.983,111,119
181.217,111,120
182.433,108,121
183.633,108,122
184.822,106,123
186,106,124
187.178,106,125
188.339,103,126
189.483,103,127
190.617,101,128
191.739,101,129
192.861,101,130
193.972,99,131
195.072,99,132
196.161,97,133
197.239,97,134
198.317,97,135
199.383,95,136
200.439,95,137
201.489,94,138
202.533,94,139
203.578,94,140
204.611,92,141
205.633,92,142
206.644,90,143
207.644,90,144
208.644,90,145
209.633,88,146
210.611,88,147
211.583,87,148
212.55,87,149
213.517,87,150
214.478,86,151
215.433,86,152
216.383,85,153
217.328,85,154
218.272,85,155
219.217,85,156
220.161,85,157
221.1,84,158
222.033,84,159
222.967,84,160
223.894,83,161
224.817,83,162
225.733,82,163
226.644,82,164
227.556,82,165
228.467,82,166
229.378,82,167
230.283,81,168
231.183,81,169
232.083,81,170
232.983,81,171
233.883,81,172
234.783,81,173
235.683,81,174
236.583,81,175
237.478,80,176
238.367,80,177
239.256,80,178
240.144,80,179
241.033,80,180
241.928,81,181
242.828,81,182
243.728,81,183
244.628,81,184
245.528,81,185
246.433,82,186
247.344,82,187
248.261,83,188
249.183,83,189
250.106,83,190
251.039,85,191
251.983,85,192
252.933,86,193
253.889,86,194
254.844,86,195
255.806,87,196
256.772,87,197
257.744,88,198
258.722,88,199
259.7,88,200
260.683,89,201
261.672,89,202
262.672,91,203
263.683,91,204
264.694,91,205
265.711,92,206
266.733,92,207
267.761,93,208
268.794,93,209
269.828,93,210
270.867,94,211
271.911,94,212
272.967,96,213
274.033,96,214
275.1,96,215
276.178,98,216
277.267,98,217
278.367,100,218
279.478,100,219
280.589,100,220
281.711,102,221
282.844,102,222
283.989,104,223
285.144,104,224
286.3,104,225
287.467,106,226
288.644,106,227
289.833,108,228
291.033,108,229
292.233,108,230
293.45,111,231
294.683,111,232
295.928,113,233
297.183,113,234
298.439,113,235
299.711,116,236
301,116,237
302.306,119,238
303.628,119,239
304.95,119,240
306.289,122,241
307.644,122,242
309.017,125,243
310.406,125,244
311.794,125,245
313.2,128,246
314.622,128,247
316.061,131,248
317.517,131,249
318.972,131,250
320.444,134,251
321.933,134,252
323.439,137,253
324.961,137,254
326.483,137,255
328.028,141,256
329.594,141,257
331.183,145,258
332.794,145,259
334.406,145,260
336.033,148,261
337.678,148,262
339.344,152,263
341.033,152,264
342.722,152,265
344.433,156,266
346.167,156,267
347.917,159,268
349.683,159,269
351.45,159,270
353.228,161,271
355.017,161,272
356.817,163,273
358.628,163,274
360.439,163,275
362.256,164,276
364.078,164,277
365.911,166,278
367.756,166,279
369.6,166,280
371.45,167,281
373.306,167,282
375.172,169,283
377.05,169,284
378.928,169,285
380.811,170,286
382.7,170,287
384.6,172,288
386.511,172,289
388.422,172,290
390.339,173,291
392.261,173,292
394.189,174,293
396.122,174,294
398.056,174,295
399.994,175,296
401.939,175,297
403.889,176,298
405.844,176,299
407.8,176,300
409.761,177,301
411.728,177,302
413.7,178,303
415.678,178,304
417.656,178,305
419.639,179,306
421.628,179,307
423.622,180,308
425.622,180,309
427.622,180,310
429.628,181,311
431.639,181,312
433.656,182,313
435.678,182,314
437.7,182,315
439.728,183,316
441.761,183,317
443.806,185,318
445.861,185,319
447.917,185,320
449.978,186,321
452.044,186,322
454.117,187,323
456.194,187,324
458.272,187,325
460.35,187,326
462.428,187,327
464.506,187,328
466.583,187,329
468.661,187,330
470.739,187,331
472.817,187,332
474.889,186,333
476.956,186,334
479.022,186,335
481.078,184,336
483.122,184,337
485.156,182,338
487.178,182,339
489.2,182,340
491.217,181,341
493.228,181,342
495.228,179,343
497.217,179,344
499.206,179,345
501.183,177,346
503.15,177,347
505.111,176,348
507.067,176,349
509.022,176,350
510.967,174,351
512.9,174,352
514.822,172,353
516.733,172,354
518.644,172,355
520.544,170,356
522.433,170,357
524.311,168,358
526.178,168,359
528.044,168,360
529.9,166,361
531.744,166,362
533.578,164,363
535.4,164,364
537.222,164,365
539.033,162,366
540.833,162,367
542.622,160,368
544.4,160,369
546.178,160,370
547.944,158,371
549.7,158,372
551.45,157,373
553.194,157,374
554.939,157,375
556.678,156,376
558.411,156,377
560.139,155,378
561.861,155,379
563.583,155,380
565.3,154,381
567.011,154,382
568.722,154,383
570.433,154,384
572.144,154,385
573.85,153,386
575.55,153,387
577.25,153,388
578.95,153,389
580.65,153,390
582.344,152,391
584.033,152,392
585.722,152,393
587.411,152,394
589.1,152,395
590.789,152,396
592.478,152,397
594.172,153,398
595.872,153,399
597.572,153,400
599.272,153,401
600.972,153,402
602.678,154,403
604.389,154,404
606.1,154,405
