distance,speed,frame
0,102,53
1.133,102,54
2.272,103,55
3.417,103,56
4.561,103,57
5.717,105,58
6.883,105,59
8.061,107,60
9.25,107,61
10.439,107,62
11.644,110,63
12.867,110,64
14.1,112,65
15.344,112,66
16.589,112,67
17.85,115,68
19.128,115,69
20.428,119,70
21.75,119,71
23.072,119,72
24.411,122,73
25.767,122,74
27.144,126,75
28.544,126,76
29.944,126,77
31.361,129,78
32.794,129,79
34.25,133,80
35.728,133,81
37.206,133,82
38.7,136,83
40.211,136,84
41.744,140,85
43.3,140,86
44.856,140,87
46.428,143,88
48.017,143,89
49.622,146,90
51.244,146,91
52.867,146,92
54.511,150,93
56.178,150,94
57.861,153,95
59.561,153,96
61.261,153,97
62.978,156,98
64.711,156,99
66.461,159,100
68.228,159,101
69.994,159,102
71.772,161,103
73.561,161,104
75.356,162,105
77.156,162,106
78.956,162,107
80.761,163,108
82.572,163,109
84.389,164,110
86.211,164,111
88.033,164,112
89.856,164,113
91.678,164,114
93.489,162,115
95.289,162,116
97.089,162,117
98.878,160,118
100.656,160,119
102.422,158,120
104.178,158,121
105.933,158,122
107.672,155,123
109.394,155,124
111.111,154,125
112.822,154,126
114.533,154,127
116.233,152,128
117.922,152,129
119.6,150,130
121.267,150,131
122.933,150,132
124.589,148,133
126.233,148,134
127.872,147,135
129.506,147,136
131.139,147,137
132.756,144,138
134.356,144,139
135.944,142,140
137.522,142,141
139.1,142,142
140.667,140,143
142.222,140,144
143.767,138,145
145.3,138,146
146.833,138,147
148.35,135,148
149.85,135,149
151.339,133,150
152.817,133,151
154.294,133,152
155.756,130,153
157.2,130,154
158.633,128,155
160.056,128,156
161.478,128,157
162.883,125,158
164.272,125,159
165.644,122,160
167.0,122,161
168.356,122,162
169.7,120,163
171.033,120,164
172.35,117,165
173.65,117,166
174.95,117,167
176.233,114,168
177.5,114,169
178.75,111,170
179.983,111,171
181.217,111,172
182.433,108,173
183.633,108,174
184.822,106,175
186.0,106,176
187.178,106,177
188.339,103,178
189.483,103,179
190.617,101,180
191.739,101,181
192.861,101,182
193.972,99,183
195.072,99,184
196.161,97,185
197.239,97,186
198.317,97,187
199.383,95,188
200.439,95,189
201.489,94,190
202.533,94,191
203.578,94,192
204.611,92,193
205.633,92,194
206.644,90,195
207.644,90,196
208.644,90,197
209.633,88,198
210.611,88,199
211.583,87,200
212.55,87,201
213.517,87,202
214.478,86,203
215.433,86,204
216.383,85,205
217.328,85,206
218.272,85,207
219.217,85,208
220.161,85,209
221.1,84,210
222.033,84,211
222.967,84,212
223.894,83,213
224.817,83,214
225.733,82,215
226.644,82,216
227.556,82,217
228.467,82,218
229.378,82,219
230.283,81,220
231.183,81,221
232.083,81,222
232.983,81,223
233.883,81,224
234.783,81,225
235.683,81,226
236.583,81,227
237.478,80,228
238.367,80,229
239.256,80,230
240.144,80,231
241.033,80,232
241.928,81,233
242.828,81,234
243.728,81,235
244.628,81,236
245.528,81,237
246.433,82,238
247.344,82,239
248.261,83,240
249.183,83,241
250.106,83,242
251.039,85,243
251.983,85,244
252.933,86,245
253.889,86,246
254.844,86,247
255.806,87,248
256.772,87,249
257.744,88,250
258.722,88,251
259.7,88,252
260.683,89,253
261.672,89,254
262.672,91,255
263.683,91,256
264.694,91,257
265.711,92,258
266.733,92,259
267.761,93,260
268.794,93,261
269.828,93,262
270.867,94,263
271.911,94,264
272.967,96,265
274.033,96,266
275.1,96,267
276.178,98,268
277.267,98,269
278.367,100,270
279.478,100,271
280.589,100,272
281.711,102,273
282.844,102,274
283.989,104,275
285.144,104,276
286.3,104,277
287.467,106,278
288.644,106,279
289.833,108,280
291.033,108,281
292.233,108,282
293.45,111,283
294.683,111,284
295.928,113,285
297.183,113,286
298.439,113,287
299.711,116,288
301.0,116,289
302.306,119,290
303.628,119,291
304.95,119,292
306.289,122,293
307.644,122,294
309.017,125,295
310.406,125,296
311.794,125,297
313.2,128,298
314.622,128,299
316.061,131,300
317.517,131,301
318.972,131,302
320.444,134,303
321.933,134,304
323.439,137,305
324.961,137,306
326.483,137,307
328.028,141,308
329.594,141,309
331.183,145,310
332.794,145,311
334.406,145,312
336.033,148,313
337.678,148,314
339.344,152,315
341.033,152,316
342.722,152,317
344.433,156,318
346.167,156,319
347.917,159,320
349.683,159,321
351.45,159,322
353.228,161,323
355.017,161,324
356.817,163,325
358.628,163,326
360.439,163,327
362.256,164,328
364.078,164,329
365.911,166,330
367.756,166,331
369.6,166,332
371.45,167,333
373.306,167,334
375.172,169,335
377.05,169,336
378.928,169,337
380.811,170,338
382.7,170,339
384.6,172,340
386.511,172,341
388.422,172,342
390.339,173,343
392.261,173,344
394.189,174,345
396.122,174,346
398.056,174,347
399.994,175,348
401.939,175,349
403.889,176,350
405.844,176,351
407.8,176,352
